Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,DateTime,dayOfWeek,busyness_(%),Rain_(mm)
malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,2015-10-19 20:17:50,Monday,35,8.53
malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,18.0,2.0,13.0,2.93553339,101.7371698,1.0,2015-10-19 20:58:31,Monday,35,8.53
indian,male,thin,51.0,no,no_kids,big,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0,2015-10-19 21:31:28,Monday,40,8.53
indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,15.0,1.0,13.0,2.903529733,101.6612493,3.0,2015-10-19 21:40:28,Monday,40,8.53
malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0,2015-10-20 00:04:56,Tuesday,55,5.21
indian,male,thin,49.0,yes,young,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,46.0,0.0,16.0,2.951176457,101.7465264,3.0,2015-10-20 00:24:01,Tuesday,55,5.21
indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,60.0,4.0,17.0,2.955301618,101.7039608,2.0,2015-10-20 00:45:19,Tuesday,55,5.21
malay,female,moderate,55.0,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,23.0,1.0,11.0,2.939276297,101.6442602,3.0,2015-10-20 10:05:17,Tuesday,15,5.21
malay,female,fat,55.0,yes,young,big,blue,traditional,white,long sleeve,orange,long,clothes,6,7,no,48.0,2.0,16.0,2.943176549,101.7346564,1.0,2015-10-20 11:13:26,Tuesday,15,5.21
chinese,female,thin,29.0,no,no_kids,small,white,casual,brown,short_sleeve,black ,long,clothes,3,7,yes,54.0,3.0,10.0,2.951222745,101.7235245,3.0,2015-10-20 13:36:46,Tuesday,15,5.21
chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,2.0,13.0,2.947776713,101.6978995,3.0,2015-10-20 13:44:03,Tuesday,15,5.21
chinese,male,thin,41.0,no,no_kids,big,white,casual,black,short_sleeve,brown,long,clothes,6,9,no,50.0,3.0,18.0,2.9662059,101.6346878,1.0,2015-10-20 13:47:46,Tuesday,15,5.21
malay,female,fat,32.0,no,no_kids,big,purple,casual,white,short_sleeve,black,long,clothes,3,7,no,58.0,0.0,10.0,2.971703373,101.6786169,2.0,2015-10-20 15:26:05,Tuesday,10,5.21
chinese,male,thin,40.0,yes,toddler,big,red,casual,white,short_sleeve,white,short,clothes,5,9,yes,54.0,2.0,18.0,2.925992147,101.7259705,2.0,2015-10-20 15:45:51,Tuesday,10,5.21
chinese,male,thin,46.0,no,no_kids,big,red,casual,purple,short_sleeve,black,long,clothes,4,7,no,56.0,1.0,15.0,2.932691012,101.6432777,2.0,2015-10-20 16:34:06,Tuesday,10,5.21
malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,16.0,1.0,20.0,2.943731299,101.7349606,1.0,2015-10-20 18:14:37,Tuesday,10,5.21
malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,long,clothes,4,7,yes,41.0,1.0,17.0,2.932445148,101.7365378,2.0,2015-10-20 18:34:26,Tuesday,10,5.21
chinese,female,thin,35.0,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,3.0,9.0,2.938365035,101.7021395,2.0,2015-10-20 18:37:46,Tuesday,10,5.21
malay,female,moderate,41.0,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38.0,5.0,9.0,2.961409415,101.6954655,3.0,2015-10-20 18:48:34,Tuesday,10,5.21
malay,female,fat,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51.0,4.0,18.0,2.909508314,101.7448743,2.0,2015-10-20 18:57:46,Tuesday,10,5.21
malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,23.0,1.0,18.0,2.920341513,101.7127793,3.0,2015-10-20 18:57:46,Tuesday,10,5.21
malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,clothes,4,8,no,37.0,5.0,12.0,2.938475943,101.6852813,1.0,2015-10-20 20:09:18,Tuesday,15,5.21
foreigner ,female,moderate,46.0,no,no_kids,big,white,formal,grey,long sleeve,black,long,blankets,3,7,no,53.0,2.0,11.0,2.962275698,101.6918951,1.0,2015-10-20 20:21:03,Tuesday,15,5.21
indian,male,moderate,49.0,no,no_kids,big,red,casual,white,short_sleeve,black,short,clothes,4,8,no,31.0,3.0,14.0,2.919551168,101.668476,3.0,2015-10-20 21:39:30,Tuesday,25,5.21
